strategy,split_id,family,family_label,block_name,n_features,features,params_json,threshold,random_state,train_roc_auc,train_pr_auc,train_balanced_accuracy,train_f1,train_brier,train_sensitivity,train_specificity,train_tn,train_fp,train_fn,train_tp,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_f1,val_brier,val_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_brier,test_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
by_image,holdout_O013490,random_forest,Random Forest,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 50}",0.5111887708853501,214,0.9900064335235762,0.9838956819307065,0.9496138520830387,0.9315726861765405,0.041531830457448175,0.9821648062209959,0.9170628979450816,55740,5041,711,39154,0.996227598237701,0.9583591984492875,0.9732235210200086,0.8148481439820022,0.02278085342420597,0.9805089334055225,0.9659381086344947,22318,787,36,1811,0.9745828299719537,0.9641037657701385,0.9100270746715576,0.9076981904750158,0.06216459018610074,0.9373551066160548,0.8826990427270605,37806,5024,2459,36794
by_image,holdout_O013490,hist_gradient_boosting,HistGradientBoosting,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_samples_leaf"": 20}",0.6693304231118002,214,0.9728255966913952,0.9478016979508905,0.9232594244894727,0.9022372491187685,0.0629488968590738,0.9438354446256114,0.902683404353334,54866,5915,2239,37626,0.9968961405565115,0.9648159159618994,0.9756039581548279,0.8355247981545559,0.027730126992288488,0.9805089334055225,0.9706989829041333,22428,677,36,1811,0.9841173252065323,0.978640967661947,0.9384002997752822,0.93640807180409,0.048823350385686935,0.9687921942271929,0.9080084053233715,38890,3940,1225,38028
by_image,holdout_O013490,hist_gradient_boosting,HistGradientBoosting,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 20}",0.5218157621284369,214,0.9846166168908944,0.9719984156230259,0.943772602971514,0.9249836299779749,0.04598244524520558,0.9744638153768971,0.9130813905661309,55498,5283,1018,38847,0.9957550843369767,0.9524864954874839,0.9718054637927392,0.8089485458612975,0.0235868319088335,0.9788846778559827,0.9647262497294958,22290,815,39,1808,0.9827895997444072,0.9785826798455286,0.9302281780473551,0.9283274779351458,0.053192308778843435,0.9659898606475938,0.8944664954471165,38310,4520,1335,37918
by_image,holdout_O013490,hist_gradient_boosting,HistGradientBoosting,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": null, ""min_samples_leaf"": 100}",0.43499425566697797,214,0.988960096613397,0.9811081186164972,0.9492114416040119,0.9301775986954827,0.04015062848237865,0.9873322463313684,0.9110906368766555,55377,5404,505,39360,0.9956944281227376,0.9509136106289009,0.9731920857055787,0.8046078865750997,0.021532497736740038,0.9832160259880888,0.9631681454230686,22254,851,31,1816,0.9805639483237861,0.9766776586093344,0.9155830856871977,0.9136180479858909,0.06384567777433815,0.9501948895625812,0.8809712818118142,37732,5098,1955,37298
by_image,holdout_O013490,hist_gradient_boosting,HistGradientBoosting,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 100}",0.35248611301987653,214,0.9953187613730966,0.992427991460498,0.9609722387513693,0.9446302136014756,0.027207976856895896,0.9956352690329864,0.9263092084697521,56302,4479,174,39691,0.9962931402238808,0.954522785062252,0.9772290338579308,0.8286689419795222,0.016881735063195197,0.9859231185706551,0.9685349491452067,22378,727,26,1821,0.9782817791411746,0.972378226919066,0.9157199829510481,0.913746003356568,0.06545798376842574,0.9501184622831376,0.8813215036189587,37747,5083,1958,37295
by_image,holdout_O013490,logistic_regression,Logistic Regression,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""C"": 0.1}",0.3460817262825772,214,0.9109878756517038,0.8068009155069504,0.8779540181672976,0.8480831950231549,0.125011752515931,0.9164680797692211,0.8394399565653741,51022,9759,3330,36535,0.9749478235877806,0.8507978463324599,0.9272557064234543,0.6203208556149733,0.070792391556058,0.9420682187330807,0.9124431941138281,21082,2023,107,1740,0.9659033316910798,0.9400433667296952,0.9077397901134054,0.9084884785152403,0.07636829653155125,0.9988790665681604,0.8166005136586505,34975,7855,44,39209
by_image,holdout_O013490,logistic_regression,Logistic Regression,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""C"": 1.0}",0.3578172419297415,214,0.9105279267858897,0.807824427978157,0.8763322427057494,0.8467710761517647,0.12437374528402376,0.9066599774238053,0.8460045079876936,51421,9360,3721,36144,0.9771633629904768,0.8629950069633175,0.932350570656991,0.656439393939394,0.0676850875252336,0.9382782891174878,0.9264228521964942,21405,1700,114,1733,0.9636992948139568,0.9366182414079718,0.9127998375142596,0.913020669394607,0.07789403826358197,0.9976052785774335,0.8279943964510856,35463,7367,94,39159
by_image,holdout_O013490,logistic_regression,Logistic Regression,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""C"": 10.0}",0.3392576555055043,214,0.9103339200611031,0.8081197613688711,0.8769608195828607,0.8468468468468469,0.12421893414165591,0.91724570425185,0.8366759349138712,50854,9927,3299,36566,0.9776584076812304,0.8661454800324542,0.9334379185346152,0.6303529833363196,0.06674160617422306,0.9523551705468327,0.9145206665223977,21130,1975,88,1759,0.9629429080252087,0.935511020960647,0.9051915976102369,0.9061665298382341,0.07831903406884869,0.998242172572797,0.8121410226476768,34784,8046,69,39184
by_image,holdout_O013490,random_forest,Random Forest,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.5553023242364257,214,0.9883382270281399,0.9787915783021743,0.9472342182621732,0.9280931311075882,0.0459274533442908,0.9839207324720933,0.9105477040522532,55344,5437,641,39224,0.997921355943483,0.9747588278280703,0.9836047787770503,0.8578110383536015,0.020793472315389284,0.9929615592853276,0.974247998268773,22510,595,13,1834,0.9783997307789749,0.9706335003639026,0.9323370968955447,0.9301456022187005,0.05120768962727824,0.9569459659134334,0.9077282278776558,38878,3952,1690,37563
by_image,holdout_O013490,random_forest,Random Forest,B3_context_ae,18,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3,ae4,ae5,ae0","{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.5782071084232693,214,0.9868843468190476,0.9764269080206912,0.9443590750014744,0.9250737882721098,0.048858562150367914,0.9788285463439107,0.9098896036590381,55304,5477,844,39021,0.9979565288148651,0.9750282537895318,0.9837885166081681,0.8617771509167842,0.022203496029438066,0.9924201407688142,0.9751568924475221,22531,574,14,1833,0.9768262341249451,0.967341717922869,0.9291651411496578,0.926769154166926,0.05299266692987457,0.9483606348559346,0.9099696474433808,38974,3856,2027,37226
